WKT;GID;ID_HOJA;TIPO;ESTADO
"POLYGON ((441879.3 4106021.96,441889.27 4106022.52,441889.81 4106012.83,441879.84 4106012.27,441879.3 4106021.96))";"760843";"102632";EDI;USO
"POLYGON ((441894.07 4106024.09,441901.05 4106024.48,441901.64 4106013.8,441894.66 4106013.41,441894.07 4106024.09))";"760845";"102632";EDI;USO
"POLYGON ((441899.43 4106051.3,441899.86 4106040.29,441892.52 4106040.0,441892.09 4106051.02,441899.43 4106051.3))";"760847";"102632";EDI;USO
"POLYGON ((441885.64 4106049.38,441886.08 4106038.36,441878.73 4106038.08,441878.3 4106049.09,441885.64 4106049.38))";"760848";"102632";EDI;USO
"POLYGON ((441872.25 4106049.98,441872.85 4106039.09,441870.16 4106038.94,441870.38 4106034.85,441865.79 4106034.59,441864.96 4106049.37,441872.25 4106049.98))";"760849";"102632";EDI;USO
"POLYGON ((440536.42 4106718.81,440543.48 4106706.83,440531.63 4106699.85,440524.57 4106711.83,440536.42 4106718.81))";"760860";"102632";EDI;USO
"POLYGON ((442051.07 4106125.79,442057.53 4106126.3,442058.78 4106110.33,442052.32 4106109.82,442051.07 4106125.79))";"760861";"102632";EDI;USO
"POLYGON ((442066.11 4106127.35,442072.62 4106127.86,442073.87 4106111.88,442067.36 4106111.37,442066.11 4106127.35))";"760862";"102632";EDI;USO
"POLYGON ((442091.93 4106045.58,442107.93 4106046.56,442108.3 4106040.53,442092.3 4106039.55,442091.93 4106045.58))";"760895";"102632";EDI;USO
"POLYGON ((442091.79 4106060.6,442107.79 4106061.58,442108.16 4106055.55,442092.16 4106054.57,442091.79 4106060.6))";"760896";"102632";EDI;USO
"POLYGON ((442089.85 4106075.96,442105.85 4106076.94,442106.22 4106070.91,442090.22 4106069.93,442089.85 4106075.96))";"760897";"102632";EDI;USO
"POLYGON ((445392.83 4107616.68,445388.05 4107623.0,445394.14 4107627.61,445398.92 4107621.29,445392.83 4107616.68))";"760904";"102632";EDI;USO
"POLYGON ((442898.42 4104486.26,442906.52 4104480.07,442900.55 4104472.23,442892.45 4104478.42,442898.42 4104486.26))";"760924";"102632";EDI;USO
"POLYGON ((442817.24 4106723.05,442806.86 4106723.92,442808.2 4106739.5,442818.58 4106738.63,442817.24 4106723.05))";"760934";"102632";EDI;USO
"POLYGON ((442866.58 4106750.03,442868.25 4106752.05,442876.09 4106744.38,442856.86 4106722.38,442852.76 4106722.59,442849.01 4106723.7,442845.93 4106725.23,442849.3 4106729.14,442866.58 4106750.03))";"760935";"102632";EDI;USO
"POLYGON ((442874.68 4106790.04,442866.92 4106796.58,442874.41 4106805.44,442882.17 4106798.9,442874.68 4106790.04))";"760936";"102632";EDI;USO
"POLYGON ((443030.79 4106708.82,443038.51 4106720.66,443069.39 4106702.53,443071.95 4106700.73,443064.57 4106691.26,443030.79 4106708.82))";"760938";"102632";EDI;USO
"POLYGON ((443024.74 4106732.0,443010.6 4106742.1,443017.67 4106751.99,443031.81 4106741.89,443024.74 4106732.0))";"760939";"102632";EDI;USO
"POLYGON ((441907.15 4106026.35,441914.13 4106026.74,441914.79 4106014.76,441907.81 4106014.37,441907.15 4106026.35))";"760948";"102632";EDI;USO
"POLYGON ((442926.29 4104411.11,442917.37 4104414.91,442923.13 4104428.54,442932.05 4104424.74,442926.29 4104411.11))";"760954";"102632";EDI;USO
"POLYGON ((442910.61 4104399.83,442919.82 4104395.93,442915.75 4104386.31,442906.54 4104390.21,442910.61 4104399.83))";"760955";"102632";EDI;USO
"POLYGON ((444262.68 4104654.72,444250.7 4104649.07,444247.59 4104655.64,444259.57 4104661.3,444262.68 4104654.72))";"814560";"102632";EDI;USO
"POLYGON ((443298.32 4104680.47,443304.54 4104684.79,443307.43 4104680.64,443301.2 4104676.32,443298.32 4104680.47))";"814635";"102632";EDI;USO
"POLYGON ((444501.49 4104438.72,444504.99 4104427.31,444497.0 4104424.86,444493.5 4104436.27,444501.49 4104438.72))";"814657";"102632";EDI;USO
"POLYGON ((444527.22 4104478.43,444524.23 4104486.65,444529.03 4104488.39,444532.02 4104480.18,444527.22 4104478.43))";"814658";"102632";EDI;USO
"POLYGON ((444483.9 4104484.72,444487.84 4104476.15,444485.7 4104475.14,444487.38 4104471.41,444481.13 4104468.54,444477.96 4104475.14,444473.95 4104483.57,444479.62 4104486.17,444480.91 4104483.37,444483.9 4104484.72))";"814659";"102632";EDI;USO
"POLYGON ((444419.19 4104516.28,444421.78 4104503.75,444414.14 4104502.17,444411.55 4104514.7,444419.19 4104516.28))";"814660";"102632";EDI;USO
